,ELEMENT1,ELEMENT2,COUNTS,PERCENTAGE,item_tag
0,膠帶/黏貼用品,優惠活動/折扣/集點,158,5.944319036869826,
1,膠帶/黏貼用品,生鮮蔬菜,96,3.611738148984198,
2,生鮮水果,生鮮蔬菜,80,3.0097817908201656,
3,膠帶/黏貼用品,火鍋料,64,2.407825432656132,
4,火鍋料,生鮮蔬菜,63,2.3702031602708806,
5,膠帶/黏貼用品,洋芋類零食,57,2.144469525959368,
6,鹽/辛香料,生鮮蔬菜,54,2.0316027088036117,
7,泡麵/快煮麵/沖泡飯,膠帶/黏貼用品,54,2.0316027088036117,
8,麵包/漢堡/蛋糕,膠帶/黏貼用品,52,1.9563581640331076,
9,生豬肉,生鮮蔬菜,49,1.8434913468773513,
10,膠帶/黏貼用品,生鮮水果,49,1.8434913468773513,
11,火鍋料,衛生棉,47,1.7682468021068474,
12,泡麵/快煮麵/沖泡飯,火鍋料,47,1.7682468021068474,
13,麵包/漢堡/蛋糕,生鮮蔬菜,42,1.580135440180587,
14,熱狗/香腸,火鍋料,41,1.5425131677953348,
15,包裝/提袋/清潔袋,膠帶/黏貼用品,41,1.5425131677953348,
16,火鍋料,沖泡榖物/麥片,38,1.4296463506395787,
17,生牛肉,生鮮蔬菜,38,1.4296463506395787,
18,麵包/漢堡/蛋糕,生鮮水果,37,1.3920240782543265,
19,生雞肉,生鮮蔬菜,37,1.3920240782543265,
20,鮮奶,生鮮蔬菜,33,1.2415349887133182,
21,泡麵/快煮麵/沖泡飯,生麵條,32,1.203912716328066,
22,蛋捲/夾心餅/蛋黃派,洋芋類零食,31,1.1662904439428141,
23,生鮮海產,生鮮蔬菜,30,1.1286681715575622,
24,濕巾,膠帶/黏貼用品,30,1.1286681715575622,
25,蛋捲/夾心餅/蛋黃派,膠帶/黏貼用品,30,1.1286681715575622,
26,優惠活動/折扣/集點,洋芋類零食,29,1.09104589917231,
27,膠帶/黏貼用品,生豬肉,28,1.0534236267870578,
28,生鮮水果,洋芋類零食,28,1.0534236267870578,
29,鮮奶,膠帶/黏貼用品,28,1.0534236267870578,
30,泡麵/快煮麵/沖泡飯,冰淇淋/冰棒/剉冰,27,1.0158013544018059,
31,火鍋料,生鮮水果,26,0.9781790820165538,
32,膠帶/黏貼用品,衛生紙/面紙,26,0.9781790820165538,
33,生鮮蔬菜,優惠活動/折扣/集點,25,0.9405568096313018,
34,膠帶/黏貼用品,現沖咖啡,23,0.8653122648607976,
35,膠帶/黏貼用品,蔬果汁/茶,23,0.8653122648607976,
36,起士/乳酪,生鮮蔬菜,23,0.8653122648607976,
37,火鍋料,衛生紙/面紙,22,0.8276899924755455,
38,啤酒,生麵條,22,0.8276899924755455,
39,膠帶/黏貼用品,冰淇淋/冰棒/剉冰,22,0.8276899924755455,
40,綠茶,膠帶/黏貼用品,21,0.7900677200902935,
41,膠帶/黏貼用品,碳酸飲料,21,0.7900677200902935,
42,泡麵/快煮麵/沖泡飯,洋芋類零食,21,0.7900677200902935,
43,碳酸飲料,洋芋類零食,21,0.7900677200902935,
44,生鮮蔬菜,碳酸飲料,20,0.7524454477050414,
45,膠帶/黏貼用品,優酪乳/優格,20,0.7524454477050414,
46,包裝/提袋/清潔袋,生鮮蔬菜,20,0.7524454477050414,
47,火鍋料,鱈魚絲/海鮮酥,20,0.7524454477050414,
48,鮮蛋,生鮮蔬菜,20,0.7524454477050414,
49,生麵條,料理塊/包/罐,20,0.7524454477050414,
50,膠帶/黏貼用品,衛生棉,19,0.7148231753197893,
51,泡麵/快煮麵/沖泡飯,蛋捲/夾心餅/蛋黃派,19,0.7148231753197893,
52,麵包/漢堡/蛋糕,洋芋類零食,19,0.7148231753197893,
53,麵包/漢堡/蛋糕,火鍋料,19,0.7148231753197893,
54,鹽/辛香料,膠帶/黏貼用品,19,0.7148231753197893,
55,冰淇淋/冰棒/剉冰,洋芋類零食,19,0.7148231753197893,
56,火鍋料,洋芋類零食,19,0.7148231753197893,
57,枕頭,火鍋料,19,0.7148231753197893,
58,料理塊/包/罐,生鮮蔬菜,18,0.6772009029345373,
59,鮮蛋,膠帶/黏貼用品,18,0.6772009029345373,
60,衛生棉,生鮮水果,18,0.6772009029345373,
61,生麵條,蔬果汁/茶,18,0.6772009029345373,
62,鹽/辛香料,優惠活動/折扣/集點,18,0.6772009029345373,
63,泡麵/快煮麵/沖泡飯,料理塊/包/罐,17,0.6395786305492852,
64,膠帶/黏貼用品,生麵條,17,0.6395786305492852,
65,啤酒,生鮮蔬菜,17,0.6395786305492852,
66,生鮮蔬菜,洋芋類零食,17,0.6395786305492852,
67,泡麵/快煮麵/沖泡飯,生鮮蔬菜,16,0.601956358164033,
68,蘇打餅/煎餅/方塊酥,洋芋類零食,16,0.601956358164033,
69,橡皮擦,洋芋類零食,16,0.601956358164033,
70,口罩,生鮮水果,15,0.5643340857787811,
71,膠帶/黏貼用品,保鮮盒/罐,15,0.5643340857787811,
72,鹽/辛香料,生鮮水果,15,0.5643340857787811,
73,膠帶/黏貼用品,浴廁清潔/疏通劑,15,0.5643340857787811,
74,泡麵/快煮麵/沖泡飯,蔬果汁/茶,15,0.5643340857787811,
75,啤酒,泡麵/快煮麵/沖泡飯,15,0.5643340857787811,
76,膠帶/黏貼用品,巧克力,15,0.5643340857787811,
77,膠帶/黏貼用品,會員費/訂閱費,15,0.5643340857787811,
78,燈泡/燈管/崁燈,生鮮蔬菜,15,0.5643340857787811,
79,蛋捲/夾心餅/蛋黃派,生鮮蔬菜,14,0.5267118133935289,
80,雞料理,生鮮蔬菜,14,0.5267118133935289,
81,膠帶/黏貼用品,生鮮海產,14,0.5267118133935289,
82,膠帶/黏貼用品,一次性電池,14,0.5267118133935289,
83,鮮奶,生鮮水果,14,0.5267118133935289,
84,膠帶/黏貼用品,料理塊/包/罐,14,0.5267118133935289,
85,啤酒,膠帶/黏貼用品,14,0.5267118133935289,
86,堅果/穀物飲,膠帶/黏貼用品,14,0.5267118133935289,
87,膠帶/黏貼用品,其他飲料,14,0.5267118133935289,
88,奶酪/布丁/果凍,膠帶/黏貼用品,13,0.4890895410082769,
89,生豬肉,生鮮水果,13,0.4890895410082769,
90,膠帶/黏貼用品,沾拌醬,13,0.4890895410082769,
91,堅果/穀物飲,生麵條,13,0.4890895410082769,
92,冰淇淋/冰棒/剉冰,生鮮蔬菜,13,0.4890895410082769,
93,冰淇淋/冰棒/剉冰,碳酸飲料,13,0.4890895410082769,
94,堅果/穀物飲,生鮮水果,13,0.4890895410082769,
95,奶茶,膠帶/黏貼用品,13,0.4890895410082769,
96,鹽/辛香料,烘焙粉,13,0.4890895410082769,
97,堅果/穀物飲,泡麵/快煮麵/沖泡飯,12,0.4514672686230248,
98,生牛肉,生鮮水果,12,0.4514672686230248,
99,仙草/愛玉/豆花,生鮮蔬菜,12,0.4514672686230248,
